assisted_by,shooter,period,shot_type,result,team,y,x
,Anthony Dallier,1,Jumper,missed,away,26,77
,Brandon Sherrod,1,Jumper,missed,away,23,10
,Makai Mason,1,Three Point Jumper,missed,away,21,68
,Anthony Dallier,1,Layup,missed,away,23,7
,Makai Mason,1,Three Point Jumper,missed,away,17,27
,Justin Sears,1,Jumper,missed,away,26,12
Nick Victor,Makai Mason,1,Three Point Jumper,made,away,41,22
,Makai Mason,1,Layup,made,away,22,7
Makai Mason,Brandon Sherrod,1,Jumper,made,away,25,21
,Makai Mason,1,Jumper,missed,away,42,6
,Justin Sears,1,Jumper,missed,away,21,8
Justin Sears,Anthony Dallier,1,Jumper,made,away,15,11
Brandon Sherrod,Sam Downey,1,Jumper,made,away,28,6
Makai Mason,Brandon Sherrod,1,Jumper,made,away,26,10
,Anthony Dallier,1,Three Point Jumper,missed,away,3,9
,Brandon Sherrod,1,Three Point Jumper,missed,away,31,28
,Makai Mason,1,Three Point Jumper,missed,away,7,21
,Justin Sears,1,Jumper,made,away,24,24
,Justin Sears,1,Jumper,made,away,24,9
,Justin Sears,1,Three Point Jumper,missed,away,21,28
,Eric Anderson,1,Jumper,missed,away,24,12
,Anthony Dallier,1,Layup,missed,away,29,5
,Anthony Dallier,1,Two Point Tip Shot,made,away,25,5
,Justin Sears,1,Jumper,made,away,24,8
,Justin Sears,1,Jumper,missed,away,26,13
,Makai Mason,1,Jumper,missed,away,26,10
,Brandon Sherrod,1,Jumper,missed,away,27,12
,Makai Mason,1,Jumper,made,away,22,7
,Makai Mason,1,Jumper,missed,away,30,20
,Anthony Dallier,1,Layup,missed,away,27,6
,Brandon Sherrod,2,Jumper,made,away,21,6
,Brandon Sherrod,2,Jumper,made,away,26,11
,Nick Victor,2,Layup,missed,away,28,7
Makai Mason,Brandon Sherrod,2,Jumper,made,away,25,8
,Anthony Dallier,2,Three Point Jumper,missed,away,7,18
,Justin Sears,2,Jumper,missed,away,19,9
Nick Victor,Brandon Sherrod,2,Layup,made,away,22,3
,Makai Mason,2,Jumper,missed,away,21,5
,Brandon Sherrod,2,Jumper,made,away,25,8
,Khaliq Ghani,2,Three Point Jumper,missed,away,42,19
,Makai Mason,2,Jumper,made,away,34,10
,Khaliq Ghani,2,Jumper,missed,away,20,7
,Khaliq Ghani,2,Three Point Jumper,missed,away,3,7
,Makai Mason,2,Jumper,made,away,15,8
,Eric Anderson,2,Layup,missed,away,26,6
,Justin Sears,2,Two Point Tip Shot,made,away,25,5
,Makai Mason,2,Three Point Jumper,missed,away,29,28
,Brandon Sherrod,2,Jumper,missed,away,24,21
,Brandon Sherrod,2,Jumper,missed,away,12,8
,Makai Mason,2,Jumper,made,away,25,17
,Nick Victor,2,Layup,made,away,21,6
,Makai Mason,2,Jumper,missed,away,17,19
,Makai Mason,2,Jumper,missed,away,16,9
,Makai Mason,2,Jumper,missed,away,12,11
,Brandon Sherrod,2,Jumper,missed,away,25,9
,Anthony Dallier,2,Three Point Jumper,missed,away,45,17
,Makai Mason,2,Jumper,made,away,21,15
,Henry Caruso,1,Jumper,made,home,17,70
,Pete Miller,1,Jumper,missed,home,26,82
,Henry Caruso,1,Jumper,missed,home,34,80
,Amir Bell,1,Jumper,made,home,29,80
,Henry Caruso,1,Three Point Jumper,missed,home,9,70
,Henry Caruso,1,Jumper,made,home,41,81
,Amir Bell,1,Three Point Jumper,missed,home,7,71
,Myles Stephens,1,Jumper,missed,home,17,75
,Spencer Weisz,1,Three Point Jumper,made,home,11,65
,Devin Cannady,1,Layup,made,home,28,88
,Steven Cook,1,Three Point Jumper,missed,home,40,70
,Henry Caruso,1,Layup,missed,home,29,85
,Henry Caruso,1,Jumper,missed,home,31,81
,Pete Miller,1,Layup,missed,home,22,84
,Henry Caruso,1,Jumper,made,home,29,80
Spencer Weisz,Devin Cannady,1,Three Point Jumper,made,home,34,65
,Henry Caruso,1,Jumper,missed,home,25,78
Pete Miller,Spencer Weisz,1,Three Point Jumper,made,home,11,66
,Myles Stephens,1,Layup,made,home,29,86
,Steven Cook,1,Layup,missed,home,24,84
Amir Bell,Devin Cannady,1,Three Point Jumper,made,home,4,79
Amir Bell,Devin Cannady,1,Three Point Jumper,made,home,40,67
,Henry Caruso,1,Dunk,made,home,24,84
Spencer Weisz,Steven Cook,1,Three Point Jumper,made,home,47,86
,Spencer Weisz,1,Layup,made,home,29,85
,Steven Cook,1,Three Point Jumper,missed,home,41,70
,Henry Caruso,1,Three Point Jumper,missed,home,39,67
,Amir Bell,1,Three Point Jumper,made,home,12,67
,Amir Bell,1,Jumper,made,home,29,73
,Amir Bell,2,Three Point Jumper,missed,home,28,62
,Amir Bell,2,Three Point Jumper,missed,home,30,62
,Henry Caruso,2,Layup,missed,home,22,84
,Henry Caruso,2,Three Point Jumper,missed,home,24,64
,Devin Cannady,2,Jumper,made,home,38,77
,Devin Cannady,2,Three Point Jumper,missed,home,27,62
Henry Caruso,Spencer Weisz,2,Three Point Jumper,made,home,31,62
,Myles Stephens,2,Layup,made,home,27,85
Spencer Weisz,Henry Caruso,2,Jumper,made,home,26,85
,Amir Bell,2,Three Point Jumper,missed,home,18,63
,Henry Caruso,2,Jumper,missed,home,23,77
,Spencer Weisz,2,Layup,made,home,21,86
,Pete Miller,2,Jumper,missed,home,23,78
,Devin Cannady,2,Jumper,missed,home,38,85
,Alec Brennan,2,Layup,made,home,27,85
,Aaron Young,2,Three Point Jumper,missed,home,47,85
,Steven Cook,2,Layup,missed,home,22,86
,Myles Stephens,2,Layup,missed,home,25,84
,Amir Bell,2,Jumper,made,home,27,84
,Henry Caruso,2,Jumper,made,home,20,85
,Spencer Weisz,2,Layup,missed,home,21,86
Henry Caruso,Steven Cook,2,Jumper,made,home,27,85
,Henry Caruso,2,Jumper,missed,home,26,80
,Spencer Weisz,2,Three Point Jumper,missed,home,43,71
,Amir Bell,2,Jumper,missed,home,14,73
