date,team,line
01/01/13,NOP,2.0
01/01/13,ATL,-2.0
01/01/13,NYK,-9.0
01/01/13,POR,9.0
01/01/13,LAL,-8.5
01/01/13,PHI,8.5
01/01/13,DEN,-1.0
01/01/13,LAC,1.0
01/01/13,DET,-6.5
01/01/13,SAC,6.5
01/01/13,WAS,4.0
01/01/13,DAL,-4.0
01/02/13,MIL,5.5
01/02/13,SAS,-5.5
01/02/13,CLE,-3.5
01/02/13,SAC,3.5
01/02/13,BOS,3.5
01/02/13,MEM,-3.5
01/02/13,MIA,-10.5
01/02/13,DAL,10.5
01/02/13,UTA,-3.5
01/02/13,MIN,3.5
01/02/13,ORL,2.5
01/02/13,CHI,-2.5
01/02/13,IND,-10.5
01/02/13,WAS,10.5
01/02/13,TOR,-4.0
01/02/13,POR,4.0
01/02/13,HOU,-10.0
01/02/13,NOP,10.0
01/02/13,PHX,-4.5
01/02/13,PHI,4.5
01/02/13,OKC,-9.5
01/02/13,BKN,9.5
01/02/13,GSW,1.5
01/02/13,LAC,-1.5
01/03/13,NYK,-1.0
01/03/13,SAS,1.0
01/03/13,DEN,-7.5
01/03/13,MIN,7.5
01/04/13,CHA,-1.5
01/04/13,CLE,1.5
01/04/13,MIL,-1.0
01/04/13,HOU,1.0
01/04/13,BOS,-3.0
01/04/13,IND,3.0
01/04/13,LAC,-4.5
01/04/13,LAL,4.5
01/04/13,MEM,-8.0
01/04/13,POR,8.0
01/04/13,MIA,-7.0
01/04/13,CHI,7.0
01/04/13,DET,0.0
01/04/13,ATL,0.0
01/04/13,TOR,-6.5
01/04/13,SAC,6.5
01/04/13,PHX,-1.5
01/04/13,UTA,1.5
01/04/13,OKC,-10.5
01/04/13,PHI,10.5
01/04/13,WAS,5.5
01/04/13,BKN,-5.5
01/05/13,CLE,6.0
01/05/13,HOU,-6.0
01/05/13,LAC,-6.0
01/05/13,GSW,6.0
01/05/13,ATL,-5.0
01/05/13,BOS,5.0
01/05/13,ORL,6.0
01/05/13,NYK,-6.0
01/05/13,DAL,-5.5
01/05/13,NOP,5.5
01/05/13,BKN,-7.5
01/05/13,SAC,7.5
01/05/13,DEN,-10.0
01/05/13,UTA,10.0
01/05/13,IND,-4.5
01/05/13,MIL,4.5
01/05/13,SAS,-13.5
01/05/13,PHI,13.5
01/05/13,MIN,-7.0
01/05/13,POR,7.0
01/06/13,MIA,-14.5
01/06/13,WAS,14.5
01/06/13,LAL,-5.0
01/06/13,DEN,5.0
01/06/13,DET,-8.5
01/06/13,CHA,8.5
01/06/13,TOR,7.0
01/06/13,OKC,-7.0
01/06/13,PHX,4.5
01/06/13,MEM,-4.5
01/07/13,CHI,-8.5
01/07/13,CLE,8.5
01/07/13,NOP,7.5
01/07/13,SAS,-7.5
01/07/13,UTA,-5.0
01/07/13,DAL,5.0
01/07/13,SAC,4.0
01/07/13,MEM,-4.0
01/07/13,NYK,-7.0
01/07/13,BOS,7.0
01/07/13,POR,-6.5
01/07/13,ORL,6.5
01/07/13,WAS,11.0
01/07/13,OKC,-11.0
01/08/13,MIL,-6.0
01/08/13,PHX,6.0
01/08/13,IND,2.0
01/08/13,MIA,-2.0
01/08/13,HOU,-8.0
01/08/13,LAL,8.0
01/08/13,PHI,-1.5
01/08/13,BKN,1.5
01/08/13,MIN,-1.5
01/08/13,ATL,1.5
01/09/13,CHA,4.5
01/09/13,UTA,-4.5
01/09/13,CHI,-5.5
01/09/13,MIL,5.5
01/09/13,CLE,4.0
01/09/13,ATL,-4.0
01/09/13,BOS,-8.5
01/09/13,PHX,8.5
01/09/13,LAC,-10.5
01/09/13,DAL,10.5
01/09/13,NOP,2.5
01/09/13,HOU,-2.5
01/09/13,DEN,-11.5
01/09/13,ORL,11.5
01/09/13,TOR,-4.5
01/09/13,PHI,4.5
01/09/13,SAS,-13.5
01/09/13,LAL,13.5
01/09/13,OKC,-12.5
01/09/13,MIN,12.5
01/09/13,GSW,-1.0
01/09/13,MEM,1.0
01/10/13,SAC,-2.5
01/10/13,DAL,2.5
01/10/13,IND,-5.0
01/10/13,NYK,5.0
01/10/13,POR,3.5
01/10/13,MIA,-3.5
01/11/13,MIL,-5.5
01/11/13,DET,5.5
01/11/13,BOS,-3.0
01/11/13,HOU,3.0
01/11/13,MEM,-2.0
01/11/13,SAS,2.0
01/11/13,ATL,-5.0
01/11/13,UTA,5.0
01/11/13,NOP,-3.0
01/11/13,MIN,3.0
01/11/13,NYK,-4.5
01/11/13,CHI,4.5
01/11/13,LAL,6.5
01/11/13,OKC,-6.5
01/11/13,BKN,-7.5
01/11/13,PHX,7.5
01/11/13,DEN,-11.5
01/11/13,CLE,11.5
01/11/13,TOR,-8.0
01/11/13,CHA,8.0
01/11/13,GSW,-7.5
01/11/13,POR,7.5
01/12/13,CHI,-8.0
01/12/13,PHX,8.0
01/12/13,LAC,-12.5
01/12/13,ORL,12.5
01/12/13,SAC,7.0
01/12/13,MIA,-7.0
01/12/13,DAL,2.0
01/12/13,MEM,-2.0
01/12/13,IND,-11.5
01/12/13,CHA,11.5
01/12/13,DET,-2.0
01/12/13,UTA,2.0
01/12/13,PHI,0.0
01/12/13,HOU,0.0
01/12/13,WAS,2.5
01/12/13,ATL,-2.5
01/13/13,NYK,-7.0
01/13/13,NOP,7.0
01/13/13,LAL,-7.5
01/13/13,CLE,7.5
01/13/13,BKN,-4.5
01/13/13,IND,4.5
01/13/13,DEN,-6.0
01/13/13,GSW,6.0
01/13/13,TOR,-2.0
01/13/13,MIL,2.0
01/13/13,SAS,-12.5
01/13/13,MIN,12.5
01/13/13,POR,5.0
01/13/13,OKC,-5.0
01/14/13,CHI,-4.5
01/14/13,ATL,4.5
01/14/13,BOS,-11.0
01/14/13,CHA,11.0
01/14/13,MEM,-2.5
01/14/13,LAC,2.5
01/14/13,UTA,2.5
01/14/13,MIA,-2.5
01/14/13,SAC,-5.5
01/14/13,CLE,5.5
01/14/13,DAL,-7.0
01/14/13,MIN,7.0
01/14/13,PHX,5.5
01/14/13,OKC,-5.5
01/14/13,WAS,-2.0
01/14/13,ORL,2.0
01/15/13,CHA,8.0
01/15/13,IND,-8.0
01/15/13,LAL,-7.0
01/15/13,MIL,7.0
01/15/13,BKN,-6.5
01/15/13,TOR,6.5
01/15/13,DEN,-9.0
01/15/13,POR,9.0
01/15/13,HOU,-3.0
01/15/13,LAC,3.0
01/15/13,PHI,-3.0
01/15/13,NOP,3.0
01/16/13,BOS,-8.0
01/16/13,NOP,8.0
01/16/13,ATL,-4.0
01/16/13,BKN,4.0
01/16/13,SAC,-4.0
01/16/13,WAS,4.0
01/16/13,ORL,1.5
01/16/13,IND,-1.5
01/16/13,DAL,-4.5
01/16/13,HOU,4.5
01/16/13,TOR,4.0
01/16/13,CHI,-4.0
01/16/13,SAS,-5.5
01/16/13,MEM,5.5
01/16/13,OKC,-8.5
01/16/13,DEN,8.5
01/16/13,POR,-6.5
01/16/13,CLE,6.5
01/16/13,GSW,2.5
01/16/13,MIA,-2.5
01/17/13,LAL,-2.5
01/17/13,MIA,2.5
01/17/13,DET,5.5
01/17/13,NYK,-5.5
01/17/13,PHX,0.0
01/17/13,MIL,0.0
01/17/13,MIN,5.0
01/17/13,LAC,-5.0
01/18/13,BOS,-2.5
01/18/13,CHI,2.5
01/18/13,MEM,-9.5
01/18/13,SAC,9.5
01/18/13,ORL,-7.0
01/18/13,CHA,7.0
01/18/13,DAL,5.0
01/18/13,OKC,-5.0
01/18/13,BKN,-6.0
01/18/13,ATL,6.0
01/18/13,DEN,-10.0
01/18/13,WAS,10.0
01/18/13,IND,-5.0
01/18/13,HOU,5.0
01/18/13,PHI,-4.0
01/18/13,TOR,4.0
01/18/13,SAS,-11.5
01/18/13,GSW,11.5
01/19/13,CHA,2.5
01/19/13,SAC,-2.5
01/19/13,CHI,2.5
01/19/13,MEM,-2.5
01/19/13,LAC,-12.5
01/19/13,WAS,12.5
01/19/13,ATL,4.5
01/19/13,SAS,-4.5
01/19/13,NOP,-5.0
01/19/13,GSW,5.0
01/19/13,UTA,-9.0
01/19/13,CLE,9.0
01/19/13,MIN,4.0
01/19/13,HOU,-4.0
01/19/13,POR,-4.0
01/19/13,MIL,4.0
01/20/13,ORL,3.5
01/20/13,DAL,-3.5
01/20/13,DEN,1.0
01/20/13,OKC,-1.0
01/20/13,DET,1.5
01/20/13,BOS,-1.5
01/20/13,TOR,4.5
01/20/13,LAL,-4.5
01/21/13,CHA,7.0
01/21/13,HOU,-7.0
01/21/13,CHI,-1.0
01/21/13,LAL,1.0
01/21/13,MEM,-6.0
01/21/13,IND,6.0
01/21/13,ATL,-8.0
01/21/13,MIN,8.0
01/21/13,NOP,-6.5
01/21/13,SAC,6.5
01/21/13,NYK,-3.0
01/21/13,BKN,3.0
01/21/13,PHI,6.0
01/21/13,SAS,-6.0
01/21/13,POR,-6.5
01/21/13,WAS,6.5
01/21/13,GSW,3.5
01/21/13,LAC,-3.5
01/22/13,MIL,-6.5
01/22/13,PHI,6.5
01/22/13,CLE,4.5
01/22/13,BOS,-4.5
01/22/13,LAC,2.0
01/22/13,OKC,-2.0
01/22/13,DET,-4.5
01/22/13,ORL,4.5
01/23/13,CHA,4.5
01/23/13,ATL,-4.5
01/23/13,CHI,-6.0
01/23/13,DET,6.0
01/23/13,MEM,-4.0
01/23/13,LAL,4.0
01/23/13,MIA,-10.5
01/23/13,TOR,10.5
01/23/13,UTA,-7.0
01/23/13,WAS,7.0
01/23/13,SAC,-3.0
01/23/13,PHX,3.0
01/23/13,HOU,-2.0
01/23/13,DEN,2.0
01/23/13,SAS,-8.5
01/23/13,NOP,8.5
01/23/13,MIN,5.5
01/23/13,BKN,-5.5
01/23/13,POR,-1.0
01/23/13,IND,1.0
01/23/13,GSW,1.5
01/23/13,OKC,-1.5
01/24/13,BOS,1.0
01/24/13,NYK,-1.0
01/24/13,ORL,-4.0
01/24/13,TOR,4.0
01/24/13,PHX,6.5
01/24/13,LAC,-6.5
01/25/13,CHI,-2.5
01/25/13,GSW,2.5
01/25/13,CLE,4.0
01/25/13,MIL,-4.0
01/25/13,MEM,-4.0
01/25/13,BKN,4.0
01/25/13,ATL,-5.5
01/25/13,BOS,5.5
01/25/13,MIA,-10.0
01/25/13,DET,10.0
01/25/13,NOP,-2.5
01/25/13,HOU,2.5
01/25/13,SAC,9.0
01/25/13,OKC,-9.0
01/25/13,LAL,-5.0
01/25/13,UTA,5.0
01/25/13,DAL,1.0
01/25/13,SAS,-1.0
01/25/13,WAS,-6.0
01/25/13,MIN,6.0
01/26/13,CHA,-3.0
01/26/13,MIN,3.0
01/26/13,MIL,-2.5
01/26/13,GSW,2.5
01/26/13,UTA,-2.0
01/26/13,IND,2.0
01/26/13,DEN,-13.0
01/26/13,SAC,13.0
01/26/13,TOR,-7.0
01/26/13,CLE,7.0
01/26/13,HOU,-3.0
01/26/13,BKN,3.0
01/26/13,PHI,3.5
01/26/13,NYK,-3.5
01/26/13,SAS,-9.0
01/26/13,PHX,9.0
01/26/13,POR,0.0
01/26/13,LAC,0.0
01/26/13,WAS,1.0
01/26/13,CHI,-1.0
01/27/13,BOS,3.5
01/27/13,MIA,-3.5
01/27/13,LAC,-8.5
01/27/13,POR,8.5
01/27/13,MEM,-7.5
01/27/13,NOP,7.5
01/27/13,NYK,-5.5
01/27/13,ATL,5.5
01/27/13,LAL,3.5
01/27/13,OKC,-3.5
01/27/13,ORL,-2.0
01/27/13,DET,2.0
01/27/13,DAL,-7.5
01/27/13,PHX,7.5
01/28/13,CHI,-12.5
01/28/13,CHA,12.5
01/28/13,UTA,-3.5
01/28/13,HOU,3.5
01/28/13,BKN,-9.5
01/28/13,ORL,9.5
01/28/13,DEN,-5.5
01/28/13,IND,5.5
01/28/13,TOR,2.0
01/28/13,GSW,-2.0
01/28/13,PHI,2.0
01/28/13,MEM,-2.0
01/28/13,WAS,-7.5
01/28/13,SAC,7.5
01/29/13,CLE,0.0
01/29/13,GSW,0.0
01/29/13,LAL,-7.5
01/29/13,NOP,7.5
01/29/13,DET,1.0
01/29/13,MIL,-1.0
01/29/13,POR,-2.5
01/29/13,DAL,2.5
01/30/13,MIL,0.0
01/30/13,CHI,0.0
01/30/13,BOS,-7.5
01/30/13,SAC,7.5
01/30/13,ATL,-7.0
01/30/13,TOR,7.0
01/30/13,UTA,-7.5
01/30/13,NOP,7.5
01/30/13,NYK,-9.5
01/30/13,ORL,9.5
01/30/13,BKN,2.5
01/30/13,MIA,-2.5
01/30/13,DEN,-4.5
01/30/13,HOU,4.5
01/30/13,IND,-8.5
